model,prompt_text,prompt_type,category,n_samples,n_unique,unique_rate,entropy,most_common,dominance
gpt-4o,What is the most underrated football (NFL) player?,underrated,sports,20,13,0.65,3.2393538702916973,geno smith,0.35
gpt-4o,What is the most underrated fruit?,underrated,food,20,8,0.4,2.3232196711813518,persimmon,0.5
gpt-4o,What is the most underrated gadget?,underrated,technology,20,18,0.9,4.121928092290512,the mechanical keyboard,0.1
gpt-4o,What is the most underrated hip-hop album?,underrated,music,20,7,0.35,1.9709505934447822,below the heavens,0.6
gpt-4o,What is the most underrated horror movie?,underrated,movies,20,9,0.45,2.884183718480763,session 9,0.2
gpt-4o,What is the most underrated invention?,underrated,science,20,13,0.65,3.4414460692900177,the bicycle,0.25
gpt-4o,What is the most underrated island?,underrated,travel,20,16,0.8,3.82192809257905,isle of mull,0.2
gpt-4o,What is the most underrated jazz musician?,underrated,music,20,17,0.85,4.021928092434781,geri allen,0.1
gpt-4o,What is the most underrated martial art?,underrated,sports,20,6,0.3,2.263865121085237,silat,0.35
gpt-4o,What is the most underrated mathematical theorem?,underrated,science,20,16,0.8,3.9219280925790505,the banach-tarski paradox,0.1
gpt-4o,What is the most underrated medical breakthrough?,underrated,science,20,13,0.65,3.1219280930118587,helicobacter pylori discovery,0.4
gpt-4o,What is the most underrated mountain range?,underrated,travel,20,12,0.6,3.3219280931561284,the simien mountains,0.2
gpt-4o,What is the most underrated movie of all time?,underrated,movies,20,3,0.15,0.5689955931564726,children of men,0.9
gpt-4o,What is the most underrated movie of the 2010s?,underrated,movies,20,6,0.3,1.8332062184808782,annihilation,0.6
gpt-4o,What is the most underrated music genre?,underrated,music,20,15,0.75,3.72192809272332,zydeco,0.2
gpt-4o,What is the most underrated mystery novel?,underrated,books,20,10,0.5,2.784183718336494,the moonstone,0.4
gpt-4o,What is the most underrated national park?,underrated,travel,20,7,0.35,2.501609496049141,congaree national park,0.35
gpt-4o,What is the most underrated non-fiction book?,underrated,books,20,13,0.65,3.4841837179036856,the warmth of other suns,0.2
gpt-4o,What is the most underrated novel of the 21st century?,underrated,books,20,14,0.7,3.6464393426512425,cloud atlas,0.15
gpt-4o,What is the most underrated operating system?,underrated,technology,20,3,0.15,0.5689955931564726,haiku os,0.9
gpt-4o,What is the most underrated programming language?,underrated,technology,20,7,0.35,1.6567796484371529,elixir,0.7
gpt-4o,What is the most underrated restaurant chain?,underrated,food,20,14,0.7,3.5414460691457483,zaxby's,0.25
gpt-4o,What is the most underrated rock album?,underrated,music,20,14,0.7,3.646439342651242,pinkerton,0.15
gpt-4o,What is the most underrated romantic movie?,underrated,movies,20,10,0.5,3.0414460697228267,about time,0.25
gpt-4o,What is the most underrated sci-fi movie?,underrated,movies,20,4,0.2,1.3567796488699617,moon,0.7
gpt-4o,What is the most underrated science fiction book?,underrated,books,20,11,0.55,3.1086949679758775,the stars my destination,0.3
gpt-4o,What is the most underrated scientific discovery?,underrated,science,20,10,0.5,2.9016094956163325,the haber-bosch process,0.35
gpt-4o,What is the most underrated scientist?,underrated,science,20,8,0.4,2.4414460700113656,lise meitner,0.4
gpt-4o,What is the most underrated short story collection?,underrated,books,20,11,0.55,3.246439343084051,the bloody chamber,0.2
gpt-4o,What is the most underrated snack?,underrated,food,20,9,0.45,2.701609495760602,roasted chickpeas,0.35
gpt-4o,What is the most underrated soccer team?,underrated,sports,20,4,0.2,1.2567796488699614,atalanta b.c,0.7
gpt-4o,What is the most underrated software tool?,underrated,technology,20,8,0.4,2.3232196711813518,notion,0.5
gpt-4o,What is the most underrated solo artist?,underrated,music,20,14,0.7,3.646439342651242,kate bush,0.15
gpt-4o,What is the most underrated song of the 2000s?,underrated,music,20,12,0.6,3.2086949678316077,maps,0.3
gpt-4o,What is the most underrated space mission?,underrated,science,20,8,0.4,2.660964046289525,pioneer 10,0.25
gpt-4o,What is the most underrated spice?,underrated,food,20,2,0.1,0.28639695682741717,sumac,0.95
gpt-4o,What is the most underrated sport?,underrated,sports,20,8,0.4,2.0709505933005126,team handball,0.6
gpt-4o,What is the most underrated sports rivalry?,underrated,sports,20,19,0.95,4.221928092146242,"battle of alberta,",0.1
gpt-4o,What is the most underrated tech company?,underrated,technology,20,13,0.65,3.441446069290018,zebra technologies,0.25
gpt-4o,What is the most underrated tech innovation?,underrated,technology,20,16,0.8,3.9219280925790505,usb-c,0.1
gpt-4o,What is the most underrated technology from the 20th century?,underrated,science,20,9,0.45,2.6219280935889366,the stirling engine,0.4
gpt-4o,What is the most underrated thriller movie?,underrated,movies,20,5,0.25,1.4190352736175185,prisoners,0.7
gpt-4o,What is the most underrated type of cheese?,underrated,food,20,9,0.45,2.823219671037082,manchego,0.25
gpt-4o,What is the most underrated vegetable?,underrated,food,20,2,0.1,0.28639695682741717,kohlrabi,0.95
gpt-4o,What is the most underrated video game console?,underrated,technology,20,6,0.3,2.108694968697225,sega dreamcast,0.4
gpt-4o,What is the most underrated video game?,underrated,technology,20,11,0.55,3.16595731936221,outer wilds,0.25
gpt-4o,What is the most underrated website?,underrated,technology,20,11,0.55,3.16595731936221,archive.org,0.25
gpt-4o,What is the most visited country in the world?,factual_baseline,factual_baseline,20,1,0.05,-1.4426951601859516e-10,france,1.0
gpt-4o,What was the most impactful scientific discovery?,factual_baseline,factual_baseline,20,6,0.3,2.2588718475797434,the discovery of penicillin,0.35
